audit,strategy,protected_attribute,metric,mean_value,n_models_significant,n_models
healthcare_readmission,unawareness,age,disparate_impact_ratio,0.21802056272940318,3,3
healthcare_readmission,unawareness,age,equal_opportunity_diff,-0.018525999021122803,3,3
healthcare_readmission,unawareness,age,equalized_odds_diff,-0.018525999021122803,3,3
healthcare_readmission,unawareness,age,predictive_parity_diff,-0.023742229992230007,0,3
healthcare_readmission,unawareness,gender,accuracy_equality_diff,-0.009167371519226308,2,3
healthcare_readmission,unawareness,gender,demographic_parity_diff,0.0013008067442085375,1,3
healthcare_readmission,unawareness,gender,disparate_impact_ratio,1.7368743429979716,1,3
healthcare_readmission,unawareness,gender,equal_opportunity_diff,0.005394758241172429,0,3
healthcare_readmission,unawareness,gender,equalized_odds_diff,0.005394758241172429,0,3
healthcare_readmission,unawareness,gender,predictive_parity_diff,0.02907885643517825,0,3
healthcare_readmission,unawareness,gender_x_age,intersectional_demographic_parity_diff,-0.0020653242818490826,2,3
healthcare_readmission,unawareness,gender_x_race,intersectional_demographic_parity_diff,0.0006940755127062508,0,3
healthcare_readmission,unawareness,race,accuracy_equality_diff,0.012536877449532876,3,3
healthcare_readmission,unawareness,race,demographic_parity_diff,-0.00023577822592050707,0,3
healthcare_readmission,unawareness,race,disparate_impact_ratio,0.9078918317511828,0,3
healthcare_readmission,unawareness,race,equal_opportunity_diff,0.0019728813641480916,0,3
healthcare_readmission,unawareness,race,equalized_odds_diff,0.0019728813641480916,0,3
healthcare_readmission,unawareness,race,predictive_parity_diff,0.054267976127650996,0,3
healthcare_readmission,unawareness,race_x_age,intersectional_demographic_parity_diff,-0.004105772640828693,2,3
healthcare_readmission,unawareness_proxy_removal,age,accuracy_equality_diff,-0.02140685307057218,3,3
healthcare_readmission,unawareness_proxy_removal,age,demographic_parity_diff,-0.0006045465956592144,1,3
healthcare_readmission,unawareness_proxy_removal,age,disparate_impact_ratio,0.35232677617450125,1,3
healthcare_readmission,unawareness_proxy_removal,age,equal_opportunity_diff,-0.0020913347995118437,0,3
healthcare_readmission,unawareness_proxy_removal,age,equalized_odds_diff,-0.0021427570503967587,0,3
healthcare_readmission,unawareness_proxy_removal,age,predictive_parity_diff,-0.11515151515151517,0,3
healthcare_readmission,unawareness_proxy_removal,gender,accuracy_equality_diff,-0.009518489664726829,3,3
healthcare_readmission,unawareness_proxy_removal,gender,demographic_parity_diff,0.00035830357674656904,1,3
healthcare_readmission,unawareness_proxy_removal,gender,disparate_impact_ratio,344.9400327017022,1,3
healthcare_readmission,unawareness_proxy_removal,gender,equal_opportunity_diff,0.0005999287229473953,0,3
